Minuta Normal,10
Cheetos Crunchy Grande,25
Doraditas BBQ Grande,25
Doraditas Limon Grande,25
Fritos BBQ Grande,25
Mini Chokis,12
Marshmellow Stars Bolsita,5
Fruty Ohs Bolsita,5
Cereal Choco Blast Bolsita,5
Galleta Arcoiris,5
Mamut Bolsita,5
Cereal Caribean Treasure Bolsita,5
Fritos Taco Frijol,6
Fritos Taco Picante,6
nada,5
Crackets Minis,12
Lays pequeño,5
Doraditas Twist,4
Doraditas Queso,4
Doraditas Picante,4
Natu Chips Sofrito Grande,32
Doraditas Limon,4
Doraditas BBQ,4
Doritos Nacho Atrevido,6
Doritos Queso Nacho Flamin Pequeno,6
Cheetos Crunchy,6
Cheetos Poffs,6
Fritos Twist,6
Fritos Antojitos BBQ,6
Rancheritos,5
Natuchips Sofrito y Chile Limon,6
Jugo de Naranja Sula 1/2,15
Jugo de Naranja Sula litro,30
Leche Sula Litro,30
Galleta Pindi y Picnic,2
Galleta Mantequilla,7
Galleta Oreo Tubo,21
Chorizo Copetin 1]2,22
Empanizador Don Julio Bolsita,32
Semita Larga Popular,3
Semita Redonda la Popular,3
Lengua la Popular,18
Alpora la Popular,48
Quequito la Popular,6
Pan Baguette la Popular,25
Flauta de Piña la Popular,12
Cafe Aromas,5
Galleta Arcoiris Grande,15
Chokis Mix Grande,14
Chokis Black Grande,14
Chokis Grande,15
Chokis Clasica Grande,14
Chokis Choco Base Grande,14
Cremax Chocolate Grande,15
Cremax Vainilla Chocolate Fresa,15
Florentinas fresa,16
Florentina Cageta,16
Choco Cono,22
Choconito,7
Cinta Crispy,28
Cinta Negra Sarita,22
Cono Soft Vainilla Fresa,20
Copa Caramelo Sarita,35
Crema De Chocolate Con Leche Sarita,5
Cremolino Fresa Mujer Maravilla,10
Giga Almendra,35
Helado Tipo Casero Caramelo,18
Helado Tipo Casero Fresa Rellena,18
Litro Napolitano Sarita,90
Litro Ron Con Pasas Sarita,90
Litro Vainilla,90
Medio Galon Galleta,160
